name,id_original
Dave Borthwick,18242
Steven E. de Souza,11667
William A. Fraker,11667
Wallace Wolodarsky,32502
Michael A. Nickles,267188
Paul Warner,28732
Vincent Robert,75555
Bernd Heinl,75555
Theodore Thomas,42981
Lucas Platt,278939
Ross Kagan Marks,291731
Paul Williams,226229
Robert Wuhl,203119
Roberto Sneider,172923
Jack Baxter,316098
Jefri Aalmuhammed,316098
Andrew Morahan,8011
Michael Corrente,171857
John Carpenter,2654
Gary B. Kibbe,2654
John G. Avildsen,18069
Jeff Pollack,19092
Barry Sonnenfeld,2758
Donald Peterman,2758
Thomas Schlamme,38129
Martin Scorsese,10436
Michael Ballhaus,10436
John Schwartzman,13595
Michael Lehmann,13595
Paul Michael Glaser,46094
Dick Pope,46094
Roy H. Wagner,9409
John Badham,9409
Jonathan Kaplan,11853
Ralf D. Bode,11853
Whit Stillman,16771
Bill Forsyth,46924
Michael Coulter,46924
Penelope Spheeris,11041
Robert Brinkmann,11041
John Landis,306
Mac Ahlberg,306
Caroline Thompson,14522
Alex Thomson,14522
Leslie Tomkins,14522
Michael Apted,26203
Stephen Hopkins,178
Peter Levy,178
William Friedkin,19819
Tom Priestley Jr.,19819
Tony Richardson,57834
Steve Yaconelli,57834
Abel Ferrara,4722
Bojan Bazelli,4722
Jennifer Chambers Lynch,18215
Frank Byers,18215
Bojan Bazelli,18215
Robert De Niro,1607
Reynaldo Villalobos,1607
Adam Resnick,26391
John Whitesell,117553
Brian De Palma,6075
Stephen H. Burum,6075
Sam Hoffman,6075
Chris Soldo,6075
Adrian Biddle,11310
Paul Weiland,11310
Mick Jackson,18658
Andrew Dunn,18658
Marco Trentini,9350
Renny Harlin,9350
Alex Thomson,9350
Francis Kenny,9612
Steve Barron,9612
Dietrich Lohmann,2124
Richard Rush,2124
Michael Ritchie,26261
Gregg Champion,19176
Dean Semler,19176
Abel Ferrara,49299
Ivan Reitman,11566
Adam Greenberg,11566
Richard Linklater,9571
Lee Daniel,9571
Sarah Knowles,9739
Alex Thomson,9739
Louis D'Esposito,9739
Marco Brambilla,9739
Melanie J. Baker,9739
Bruce Brown,24257
Gus Van Sant,34444
John J. Campbell,34444
Eric Alan Edwards,34444
Carl Reiner,26141
Chen Kaige,10997
Gu Chang-Wei,10997
Donald Petrie,50463
Tim Suhrstedt,50463
Jack E. Pelissier Jr.,50463
Michael Moran,50463
Peter Weir,10443
Allen Daviau,10443
Rusty Cundieff,20239
Sven Nykvist,16297
Alek Keshishian,16297
Steve Kloves,18551
John Irvin,25440
Barry Sonnenfeld,9024
Oliver Wood,9024
Sydney Pollack,37233
John Seale,37233
Simon Wincer,1634
Robbie Greenberg,1634
Adam Holender,13815
Boaz Yakin,13815
Andrew Davis,5503
Michael Chapman,5503
